Ticker,Year,TotalAset,TotalLiabilitas,TotalCurrentAssets,TotalCurrentLiabilities,NetIncome,OperatingCashFlow,RetainedEarning,EBIT,Sales,Depreciation,Amortization,OutstandingShares
TCID,2021,2300804864960.0,480956169246.0,1437357374822.0,176837470021.0,-76507618777.0,153138898133.0,1509848408927.0,-99524953983.0,1850311080131.0,137152033674.0,23784063919,201066667.0
TCID,2022,2380658000000.0,525870000000.0,1594566000000.0,221012000000.0,18109000000.0,147787000000.0,1527957000000.0,5847000000.0,2044822000000.0,120854240718.0,16488779453,201066667.0
TGKA,2020,3361956000000.0,1763284000000.0,3067117000000.0,1406291000000.0,478561000000.0,703828101076.0,1507249000000.0,656396000000.0,12488884000000.0,46383838611.0,4879428970,918492750.0
TGKA,2021,3403961000000.0,1643370000000.0,3071868000000.0,1319657000000.0,481109000000.0,-13518745435.0,1659615000000.0,559534000000.0,11926150000000.0,51776333155.0,4849197323,918492750.0
TGKA,2022,4178952000000.0,2133663000000.0,3716527000000.0,1806906000000.0,478266000000.0,629249000000.0,1842196000000.0,597311000000.0,12977529000000.0,50056000000.0,4823000000,918492750.0
TGKA,2023,4566006000000.0,2365654000000.0,3810334000000.0,1940279000000.0,441099000000.0,650301000000.0,1951416000000.0,56517000000.0,12977529000000.0,52762000000.0,4880000000,918492750.0
ULTJ,2020,8754116000000.0,3972379000000.0,5593421000000.0,2327339000000.0,1109666000000.0,1176966000000.0,5907849000000.0,1364261000000.0,5967362000000.0,176594000000.0,1476000000,10398175200.0
ULTJ,2021,7406856000000.0,2268730000000.0,4844821000000.0,1556539000000.0,1276793000000.0,1200323000000.0,6295668000000.0,1627958000000.0,6616642000000.0,184657000000.0,1557000000,10398175200.0
ULTJ,2022,7376375000000.0,1553696000000.0,4618390000000.0,1456898000000.0,965486000000.0,259846000000.0,6996500000000.0,1302854000000.0,7656252000000.0,174427000000.0,1207000000,10398175200.0
ULTJ,2023,7523956000000.0,836988000000.0,4411475000000.0,713393000000.0,1186161000000.0,1399842000000.0,6062260000000.0,1474777000000.0,8302741000000.0,150272000000.0,971000000,10398175200.0
WAPO,2020,92627000000.0,16002000000.0,44921000000.0,15413000000.0,-1625000000.0,0.0,-483806000000.0,-2568000000.0,227388000000.0,0.0,0,1240923111.0
WAPO,2021,100505000000.0,25441000000.0,54953000000.0,24606000000.0,708000000.0,0.0,-469311000000.0,-2754000000.0,317187000000.0,2800000000.0,0,1240923111.0
