NO,TICKER,NAMA PERUSAHAAN,2021,,,,,,,2022,,,,,,,2023,,,,,,,2024,,,,,,
,,,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales
31,MLPL,Multipolar Tbk.,#DIV/0!,,,"173,138,540,000",,"467,942,000",,0.01,"1,122,237,000,000","418,659,000,000","52,409,504,000","8,488,639,000,000","467,942,000","10,917,615,000,000",0.00,"1,357,684,000,000","484,280,000,000","34,159,766,000","8,390,166,000,000","467,942,000","10,962,823,000,000",0.00,"1,497,019,000,000","634,261,000,000","44,454,490,000","8,267,273,000,000","467,942,000","11,394,504,000,000"
32,MRAT,Mustika Ratu Tbk.,0.42,"192,998,505,131","15,767,771,246","118,128,000,000","235,065,047,091","428,000,000","326,794,571,097",0.50,"260,831,516,181","61,170,413,206","327,420,000,000","283,395,035,571","428,000,000","285,177,566,612",0.54,"246,691,116,803","671,108,627","158,360,000,000","232,316,210,715","428,000,000","300,596,022,300",0.41,"241,568,578,030","14,929,263,413","130,968,000,000","244,780,362,194","428,000,000","333,562,949,947"
33,MYOR,Mayora Indah Tbk.,  0.37 ,"  10,683,916,958,291.00 ","  1,772,315,914,155.00 ","  45,611,747,439,000.00 ","  8,557,621,869,393.00 ","  22,358,699,725.00 ","  27,904,558,322,183.00 ",  0.41 ,"  12,187,012,917,053.00 ","  2,433,114,641,701.00 ","  23,603,666,512,240,000.00 ","  9,441,466,604,896.00 ","  22,358,699,725.00 ","  30,669,405,967,404.00 ",  0.26 ,"  14,605,037,812,134.00 ","  4,299,475,347,200.00 ","  55,673,162,315,250.00 ","  8,588,315,775,736.00 ","  22,358,699,725.00 ","  31,485,008,185,525.00 ",  0.41 ,"  16,383,892,792,792.00 ","  3,915,364,772,118.00 ","  62,157,185,235,500.00 ","  12,626,353,599,187.00 ","  22,358,699,725.00 ","  36,072,949,285,930.00 "
34,PSDN,Prasidha Aneka Niaga Tbk,#DIV/0!,,,"220,320,000,000",,"  1,440,000,000.00 ",,#DIV/0!,,,"119,520,000,000",,"  1,440,000,000.00 ",,#DIV/0!,,,"129,600,000,000",,"  1,440,000,000.00 ",,#DIV/0!,,,"108,000,000,000",,"  1,440,000,000.00 ",
35,RANC,Supra Boga Lestari Tbk.,#DIV/0!,,,"2,816,077,500,000",,"1,564,487,500",,#DIV/0!,,,"1,275,057,312,500",,"1,564,487,500",,#DIV/0!,,,"1,048,206,625,000",,"1,564,487,500",,#DIV/0!,,,"735,309,125,000",,"1,564,487,500",
36,ROTI,Nippon Indosari Corpindo Tbk.,#DIV/0!,,,"7,646,294,663,680",,"5,622,275,488",,0.16,"1,698,537,203,130","623,239,351,423","7,421,403,644,160","1,449,163,077,319","5,622,275,488","3,935,182,048,668",0.13,"1,408,800,907,546","488,859,656,276","6,465,616,811,200","1,550,086,849,761","5,622,275,488","3,820,532,634,926",0.12,"1,329,667,659,858","531,831,052,967","5,453,607,223,360","1,438,191,795,263","5,622,275,488","3,932,169,542,456"
37,SDPC,Millennium Pharmacon Internati,#DIV/0!,,,"173,264,000,000",,"1,274,000,000",,0.10,"123,148,954,423","74,946,147,442","422,968,000,000","1,142,594,625,772","1,274,000,000","3,200,833,096,416",0.10,"151,351,458,151","105,537,296,171","201,292,000,000","1,361,968,904,232","1,274,000,000","3,363,517,807,834",0.08,"161,382,497,408","96,492,714,770","168,168,000,000","1,489,359,909,392","1,274,000,000","3,916,863,878,530"
38,SGRO,Prime Agri Resources Tbk.,#DIV/0!,,,"3,628,150,890,000",,"1,818,622,000",,0.04,"3,865,536,000,000","1,612,794,000,000","3,819,106,200,000","5,013,127,000,000","1,818,622,000","5,671,723,000,000",0.03,"3,995,093,000,000","936,608,000,000","3,655,430,220,000","4,555,126,000,000","1,818,622,000","5,620,503,000,000",0.04,"4,529,148,000,000","1,450,436,000,000","3,891,851,080,000","4,492,331,000,000","1,818,622,000","5,536,975,000,000"
39,SIMP,Salim Ivomas Pratama Tbk.,#DIV/0!,,,"7,068,597,360,000",,"15,501,310,000",,0.03,"11,575,536,000,000","3,007,814,000,000","6,417,542,340,000","14,945,799,000,000","15,501,310,000","17,794,246,000,000",0.01,"12,075,071,000,000","2,099,229,000,000","5,828,492,560,000","13,291,426,000,000","15,501,310,000","16,002,643,000,000",0.12,"13,457,619,000,000","3,541,406,000,000","5,859,495,180,000","13,260,394,000,000","15,501,310,000","15,967,804,000,000"
40,SIPD,Sreeya Sewu Indonesia Tbk.,#DIV/0!,,,"14,620,000,000",,"7,310,000",,-0.09,"-694,966,000,000","-136,959,000,000","10,416,750,000","2,300,107,000,000","7,310,000","6,047,203,000,000",0.05,"-712,583,000,000","27,654,000,000","9,868,500,000","2,088,422,000,000","7,310,000","6,091,342,000,000",0.01,"-709,258,000,000","84,168,000,000","6,030,750,000","1,915,653,000,000","7,310,000","5,360,755,000,000"
